w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
to,103,3\/4,on,two,million,shares,LOWER,DIGIT,MIXED,LOWER,LOWER,LOWER,LOWER,IN
103,3\/4,on,two,million,shares,",",DIGIT,MIXED,LOWER,LOWER,LOWER,LOWER,PUNCT,CD
3\/4,on,two,million,shares,",",reflecting,MIXED,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,CD
on,two,million,shares,",",reflecting,market,LOWER,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NNS
two,million,shares,",",reflecting,market,optimism,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
million,shares,",",reflecting,market,optimism,about,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,VBG
shares,",",reflecting,market,optimism,about,the,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
",",reflecting,market,optimism,about,the,prospects,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
reflecting,market,optimism,about,the,prospects,for,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
market,optimism,about,the,prospects,for,its,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
optimism,about,the,prospects,for,its,newly,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
about,the,prospects,for,its,newly,introduced,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
the,prospects,for,its,newly,introduced,notebook-sized,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
prospects,for,its,newly,introduced,notebook-sized,computer,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
for,its,newly,introduced,notebook-sized,computer,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,VBN
its,newly,introduced,notebook-sized,computer,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
newly,introduced,notebook-sized,computer,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
introduced,notebook-sized,computer,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,prime,minister,rajiv,gandhi,<PAD>,<PAD>,<PAD>,TITLE,TITLE,TITLE,TITLE,NNP
<PAD>,<PAD>,prime,minister,rajiv,gandhi,set,<PAD>,<PAD>,TITLE,TITLE,TITLE,TITLE,LOWER,NNP
<PAD>,prime,minister,rajiv,gandhi,set,a,<PAD>,TITLE,TITLE,TITLE,TITLE,LOWER,LOWER,NNP
prime,minister,rajiv,gandhi,set,a,date,TITLE,TITLE,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
minister,rajiv,gandhi,set,a,date,next,TITLE,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
rajiv,gandhi,set,a,date,next,month,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,DT
gandhi,set,a,date,next,month,for,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
set,a,date,next,month,for,general,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
a,date,next,month,for,general,elections,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
date,next,month,for,general,elections,that,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
next,month,for,general,elections,that,some,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
month,for,general,elections,that,some,analysts,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
for,general,elections,that,some,analysts,say,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
general,elections,that,some,analysts,say,could,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
elections,that,some,analysts,say,could,cost,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
that,some,analysts,say,could,cost,him,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBP
some,analysts,say,could,cost,him,and,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
analysts,say,could,cost,him,and,his,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
say,could,cost,him,and,his,ruling,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
could,cost,him,and,his,ruling,congress,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,CC
cost,him,and,his,ruling,congress,-lrb-,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,UPPER,PRP$
him,and,his,ruling,congress,-lrb-,i,LOWER,LOWER,LOWER,LOWER,TITLE,UPPER,UPPER,NN
and,his,ruling,congress,-lrb-,i,-rrb-,LOWER,LOWER,LOWER,TITLE,UPPER,UPPER,UPPER,NNP
his,ruling,congress,-lrb-,i,-rrb-,party,LOWER,LOWER,TITLE,UPPER,UPPER,UPPER,TITLE,(
ruling,congress,-lrb-,i,-rrb-,party,control,LOWER,TITLE,UPPER,UPPER,UPPER,TITLE,LOWER,PRP
congress,-lrb-,i,-rrb-,party,control,of,TITLE,UPPER,UPPER,UPPER,TITLE,LOWER,LOWER,)
-lrb-,i,-rrb-,party,control,of,the,UPPER,UPPER,UPPER,TITLE,LOWER,LOWER,LOWER,NNP
i,-rrb-,party,control,of,the,government,UPPER,UPPER,TITLE,LOWER,LOWER,LOWER,LOWER,NN
-rrb-,party,control,of,the,government,.,UPPER,TITLE,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
party,control,of,the,government,.,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,DT
control,of,the,government,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
of,the,government,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,small,talk,:,<PAD>,<PAD>,<PAD>,<PAD>,UPPER,UPPER,PUNCT,<PAD>,NNP
<PAD>,<PAD>,small,talk,:,<PAD>,<PAD>,<PAD>,<PAD>,UPPER,UPPER,PUNCT,<PAD>,<PAD>,NNP
<PAD>,small,talk,:,<PAD>,<PAD>,<PAD>,<PAD>,UPPER,UPPER,PUNCT,<PAD>,<PAD>,<PAD>,:
<PAD>,<PAD>,<PAD>,but,its,auditor,",",<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,CC
<PAD>,<PAD>,but,its,auditor,",",ernst,<PAD>,<PAD>,TITLE,LOWER,LOWER,PUNCT,TITLE,PRP$
<PAD>,but,its,auditor,",",ernst,&,<PAD>,TITLE,LOWER,LOWER,PUNCT,TITLE,PUNCT,NN
but,its,auditor,",",ernst,&,young,TITLE,LOWER,LOWER,PUNCT,TITLE,PUNCT,TITLE,","
its,auditor,",",ernst,&,young,",",LOWER,LOWER,PUNCT,TITLE,PUNCT,TITLE,PUNCT,NNP
auditor,",",ernst,&,young,",",said,LOWER,PUNCT,TITLE,PUNCT,TITLE,PUNCT,LOWER,CC
",",ernst,&,young,",",said,enviropact,PUNCT,TITLE,PUNCT,TITLE,PUNCT,LOWER,TITLE,NNP
ernst,&,young,",",said,enviropact,'s,TITLE,PUNCT,TITLE,PUNCT,LOWER,TITLE,LOWER,","
&,young,",",said,enviropact,'s,financial,PUNCT,TITLE,PUNCT,LOWER,TITLE,LOWER,LOWER,VBD
young,",",said,enviropact,'s,financial,situation,TITLE,PUNCT,LOWER,TITLE,LOWER,LOWER,LOWER,NNP
",",said,enviropact,'s,financial,situation,raises,PUNCT,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,POS
said,enviropact,'s,financial,situation,raises,``,LOWER,TITLE,LOWER,LOWER,LOWER,LOWER,MIXED,JJ
enviropact,'s,financial,situation,raises,``,substantial,TITLE,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,NN
's,financial,situation,raises,``,substantial,doubt,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,VBZ
financial,situation,raises,``,substantial,doubt,about,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,``
situation,raises,``,substantial,doubt,about,its,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,JJ
raises,``,substantial,doubt,about,its,ability,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,NN
``,substantial,doubt,about,its,ability,to,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
substantial,doubt,about,its,ability,to,continue,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PRP$
doubt,about,its,ability,to,continue,as,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
about,its,ability,to,continue,as,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
its,ability,to,continue,as,a,going,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
ability,to,continue,as,a,going,concern,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
to,continue,as,a,going,concern,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
continue,as,a,going,concern,.,'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,VBG
as,a,going,concern,.,'',<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,NN
a,going,concern,.,'',<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,.
going,concern,.,'',<PAD>,<PAD>,<PAD>,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,<PAD>,''
<PAD>,<PAD>,<PAD>,his,commanding,officer,at,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,PRP$
<PAD>,<PAD>,his,commanding,officer,at,the,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,NN
<PAD>,his,commanding,officer,at,the,chiriqui,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,TITLE,NN
his,commanding,officer,at,the,chiriqui,province,TITLE,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,IN
commanding,officer,at,the,chiriqui,province,garrison,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,DT
officer,at,the,chiriqui,province,garrison,",",LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,PUNCT,NNP
at,the,chiriqui,province,garrison,",",major,LOWER,LOWER,TITLE,TITLE,LOWER,PUNCT,TITLE,NNP
the,chiriqui,province,garrison,",",major,omar,LOWER,TITLE,TITLE,LOWER,PUNCT,TITLE,TITLE,NN
chiriqui,province,garrison,",",major,omar,torrijos,TITLE,TITLE,LOWER,PUNCT,TITLE,TITLE,TITLE,","
province,garrison,",",major,omar,torrijos,",",TITLE,LOWER,PUNCT,TITLE,TITLE,TITLE,PUNCT,NNP
garrison,",",major,omar,torrijos,",",gave,LOWER,PUNCT,TITLE,TITLE,TITLE,PUNCT,LOWER,NNP
",",major,omar,torrijos,",",gave,him,PUNCT,TITLE,TITLE,TITLE,PUNCT,LOWER,LOWER,NNP
major,omar,torrijos,",",gave,him,an,TITLE,TITLE,TITLE,PUNCT,LOWER,LOWER,LOWER,","
omar,torrijos,",",gave,him,an,intriguing,TITLE,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,VBD
torrijos,",",gave,him,an,intriguing,assignment,TITLE,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,PRP
",",gave,him,an,intriguing,assignment,:,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
gave,him,an,intriguing,assignment,:,mr.,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,TITLE,JJ
him,an,intriguing,assignment,:,mr.,noriega,LOWER,LOWER,LOWER,LOWER,PUNCT,TITLE,TITLE,NN
an,intriguing,assignment,:,mr.,noriega,would,LOWER,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,:
intriguing,assignment,:,mr.,noriega,would,organize,LOWER,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,NNP
assignment,:,mr.,noriega,would,organize,the,LOWER,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
:,mr.,noriega,would,organize,the,province,PUNCT,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,MD
mr.,noriega,would,organize,the,province,'s,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VB
noriega,would,organize,the,province,'s,first,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
would,organize,the,province,'s,first,intelligence,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
organize,the,province,'s,first,intelligence,service,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,POS
the,province,'s,first,intelligence,service,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
province,'s,first,intelligence,service,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
's,first,intelligence,service,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
first,intelligence,service,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,net,interest,margin,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,DT
<PAD>,<PAD>,the,net,interest,margin,-,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,PUNCT,JJ
<PAD>,the,net,interest,margin,-,the,<PAD>,TITLE,LOWER,LOWER,LOWER,PUNCT,LOWER,NN
the,net,interest,margin,-,the,difference,TITLE,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,NN
net,interest,margin,-,the,difference,between,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,:
interest,margin,-,the,difference,between,the,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,DT
margin,-,the,difference,between,the,bank,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
-,the,difference,between,the,bank,'s,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
the,difference,between,the,bank,'s,cost,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
difference,between,the,bank,'s,cost,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
between,the,bank,'s,cost,of,funds,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,POS
